,Min.Price,Price,Max.Price,Horsepower,RPM,Rev.per.mile,Fuel.tank.capacity,EngineSize,Cylinders,MPG.highway,MPG.city
0,6.7,8.4,10.0,55,5700,3755,10.6,1.0,3,50,46
1,7.3,8.4,9.5,73,5600,2875,9.2,1.2,3,37,33
2,12.9,15.9,18.8,140,6300,2890,13.2,1.8,4,31,25
3,14.2,15.7,17.3,110,5200,2565,16.4,2.2,4,31,22
4,8.5,13.4,18.3,110,5200,2380,15.2,2.2,4,36,25
5,11.4,11.4,11.4,110,5200,2665,15.6,2.2,4,34,25
6,13.4,15.9,18.4,110,5200,2595,16.5,2.2,4,29,21
7,14.5,15.8,17.1,141,5000,2090,16.0,3.0,4,28,23
8,8.4,11.3,14.2,93,4800,2595,14.0,2.2,4,29,23
9,11.9,13.3,14.7,100,4800,2535,16.0,2.5,4,27,22
10,14.8,15.6,16.4,100,4800,2465,16.0,2.5,4,27,21
11,7.9,12.2,16.5,92,6000,2505,13.2,1.5,4,33,29
12,8.4,10.1,11.9,127,6500,2410,13.2,1.8,4,30,23
13,10.4,11.3,12.2,96,4200,2805,15.9,2.3,4,27,22
14,10.8,15.9,21.0,105,4600,2285,15.4,2.3,4,29,22
15,12.8,14.0,15.2,115,5500,2340,15.5,2.0,4,30,24
16,11.5,12.5,13.5,90,5400,3250,12.4,1.6,4,36,30
17,17.0,19.8,22.7,160,5800,2855,15.9,2.3,4,31,24
18,8.4,12.1,15.8,102,5900,2650,11.9,1.5,4,46,42
19,13.8,17.5,21.2,140,5600,2610,17.0,2.2,4,31,24
20,9.0,10.0,11.0,124,6000,2745,13.7,1.8,4,29,22
21,9.1,10.0,11.0,92,5550,2540,11.9,1.5,4,34,26
22,12.4,13.9,15.3,128,6000,2335,17.2,2.0,4,27,20
23,10.9,11.6,12.3,103,5500,2220,14.5,1.8,4,36,28
24,14.3,16.5,18.7,164,5600,2505,15.5,2.5,4,34,26
25,13.3,14.1,15.0,100,5750,2475,11.1,1.6,4,26,23
26,7.7,10.3,12.9,92,6000,2505,13.2,1.5,4,33,29
27,8.7,11.8,14.9,110,6000,2435,13.2,1.6,4,33,29
28,13.0,15.7,18.3,150,5600,2130,15.9,2.4,4,30,24
29,13.0,13.5,14.0,155,6000,2380,15.2,2.3,4,31,24
30,14.2,16.3,18.4,110,5200,2565,16.5,2.2,4,31,23
31,11.4,14.4,17.4,92,5000,2360,15.9,1.8,4,30,23
32,9.4,11.1,12.8,110,5200,2665,15.2,2.0,4,31,23
33,9.2,11.1,12.9,85,5000,2145,12.8,1.9,4,38,28
34,10.5,10.9,11.3,90,5200,3375,15.9,1.8,4,30,25
35,16.3,19.5,22.7,130,5600,2330,15.9,2.2,4,30,23
36,7.8,9.8,11.8,82,5200,3505,11.9,1.5,4,37,32
37,14.2,18.4,22.6,135,5400,2405,15.9,2.2,4,32,25
38,15.2,18.2,21.2,130,5400,2340,18.5,2.2,4,29,22
39,17.6,20.0,22.4,134,5800,2685,18.5,2.0,4,30,21
40,25.9,29.1,32.3,172,5500,2280,16.9,2.8,6,26,20
41,19.9,20.8,21.7,170,4800,1570,18.0,3.8,6,28,19
42,22.6,23.7,24.9,180,4000,1320,23.0,5.7,6,25,16
43,26.3,26.3,26.3,170,4800,1690,18.8,3.8,6,27,19
44,14.7,16.3,18.0,170,4800,1690,20.0,3.8,6,23,18
45,14.7,16.6,18.6,165,4000,1790,27.0,4.3,6,20,15
46,18.4,18.4,18.4,153,5300,1990,18.0,3.3,6,28,20
47,29.5,29.5,29.5,147,4800,1785,16.0,3.3,6,26,20
48,13.6,19.0,24.4,142,5000,1970,20.0,3.0,6,21,17
49,18.5,25.8,33.1,300,6000,2120,19.8,3.0,6,24,18
50,17.5,19.3,21.2,214,5800,1980,18.0,3.5,6,28,20
51,14.5,19.9,25.3,145,4800,2080,21.0,3.0,6,20,15
52,15.6,20.2,24.8,140,4800,1885,16.0,3.0,6,30,21
53,27.5,28.0,28.4,185,5200,2325,18.5,3.0,6,24,18
54,16.6,19.1,21.7,155,5000,2240,19.6,3.0,6,24,18
55,32.5,32.5,32.5,255,6500,2325,20.0,1.3,6,25,17
56,22.4,26.1,29.9,202,6000,2210,19.0,3.0,6,24,18
57,16.7,19.1,21.5,151,4800,2065,20.0,3.0,6,23,17
58,21.0,21.5,22.0,160,5200,2045,18.5,3.0,6,26,21
59,19.5,19.5,19.5,170,4800,1690,20.0,3.8,6,23,18
60,19.5,20.7,21.9,170,4800,1570,18.0,3.8,6,28,19
61,14.0,17.7,21.4,160,4600,1805,15.5,3.4,6,28,19
62,15.4,18.5,21.6,200,5000,1890,16.5,3.4,6,27,19
63,19.4,24.4,29.4,170,4800,1565,18.0,3.8,6,28,19
64,22.9,23.3,23.7,178,5800,2385,18.5,2.8,6,25,18
65,33.0,34.7,36.3,200,4100,1510,18.0,4.9,8,25,16
66,37.5,40.1,42.7,295,6000,1985,20.0,4.6,8,25,16
67,34.6,38.0,41.5,300,5000,1450,20.0,5.7,8,25,17
68,34.4,36.1,37.8,210,4600,1840,20.0,4.6,8,26,18
