,Min.Price,Price,Max.Price,MPG.city,MPG.highway,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Turn.circle,Rear.seat.room,Luggage.room,Weight
0,12.9,15.9,18.8,25,31,4,1.8,140,6300,2890,13.2,5,177,102,68,37,26.5,11.0,2705
1,29.2,33.9,38.7,18,25,6,3.2,200,5500,2335,18.0,5,195,115,71,38,30.0,15.0,3560
2,25.9,29.1,32.3,20,26,6,2.8,172,5500,2280,16.9,5,180,102,67,37,28.0,14.0,3375
3,30.8,37.7,44.6,19,26,6,2.8,172,5500,2535,21.1,6,193,106,70,37,31.0,17.0,3405
4,23.7,30.0,36.2,22,30,4,3.5,208,5700,2545,21.1,4,186,109,69,39,27.0,13.0,3640
5,14.2,15.7,17.3,22,31,4,2.2,110,5200,2565,16.4,6,189,105,69,41,28.0,16.0,2880
6,19.9,20.8,21.7,19,28,6,3.8,170,4800,1570,18.0,6,200,111,74,42,30.5,17.0,3470
7,22.6,23.7,24.9,16,25,6,5.7,180,4000,1320,23.0,6,216,116,78,45,30.5,21.0,4105
8,26.3,26.3,26.3,19,27,6,3.8,170,4800,1690,18.8,5,198,108,73,41,26.5,14.0,3495
9,33.0,34.7,36.3,16,25,8,4.9,200,4100,1510,18.0,6,206,114,73,43,35.0,18.0,3620
10,37.5,40.1,42.7,16,25,8,4.6,295,6000,1985,20.0,5,204,111,74,44,31.0,14.0,3935
11,8.5,13.4,18.3,25,36,4,2.2,110,5200,2380,15.2,5,182,101,66,38,25.0,13.0,2490
12,11.4,11.4,11.4,25,34,4,2.2,110,5200,2665,15.6,5,184,103,68,39,26.0,14.0,2785
13,13.4,15.1,16.8,19,28,6,3.4,160,4600,1805,15.5,4,193,101,74,43,25.0,13.0,3240
14,13.4,15.9,18.4,21,29,4,2.2,110,5200,2595,16.5,6,198,108,71,40,28.5,16.0,3195
15,14.7,16.3,18.0,18,23,6,3.8,170,4800,1690,20.0,7,178,110,74,44,30.5,14.0,3715
16,14.7,16.6,18.6,15,20,6,4.3,165,4000,1790,27.0,8,194,111,78,42,33.5,14.0,4025
17,18.0,18.8,19.6,17,26,8,5.0,170,4200,1350,23.0,6,214,116,77,42,29.5,20.0,3910
18,34.6,38.0,41.5,17,25,8,5.7,300,5000,1450,20.0,2,179,96,74,43,27.5,14.0,3380
19,18.4,18.4,18.4,20,28,6,3.3,153,5300,1990,18.0,6,203,113,74,40,31.0,15.0,3515
20,14.5,15.8,17.1,23,28,4,3.0,141,5000,2090,16.0,6,183,104,68,41,30.5,14.0,3085
21,29.5,29.5,29.5,20,26,6,3.3,147,4800,1785,16.0,6,203,110,69,44,36.0,17.0,3570
22,7.9,9.2,10.6,29,33,4,1.5,92,6000,3285,13.2,5,174,98,66,32,26.5,11.0,2270
23,8.4,11.3,14.2,23,29,4,2.2,93,4800,2595,14.0,5,172,97,67,38,26.5,13.0,2670
24,11.9,13.3,14.7,22,27,4,2.5,100,4800,2535,16.0,6,181,104,68,39,30.5,14.0,2970
25,13.6,19.0,24.4,17,21,6,3.0,142,5000,1970,20.0,7,175,112,72,42,26.5,14.0,3705
26,14.8,15.6,16.4,21,27,4,2.5,100,4800,2465,16.0,6,192,105,69,42,30.5,16.0,3080
27,18.5,25.8,33.1,18,24,6,3.0,300,6000,2120,19.8,4,180,97,72,40,20.0,11.0,3805
28,7.9,12.2,16.5,29,33,4,1.5,92,6000,2505,13.2,5,174,98,66,36,26.5,11.0,2295
29,17.5,19.3,21.2,20,28,6,3.5,214,5800,1980,18.0,6,202,113,74,40,30.0,15.0,3490
30,6.9,7.4,7.9,31,33,4,1.3,63,5000,3150,10.0,4,141,90,63,33,26.0,12.0,1845
31,8.4,10.1,11.9,23,30,4,1.8,127,6500,2410,13.2,5,171,98,67,36,28.0,12.0,2530
32,10.4,11.3,12.2,22,27,4,2.3,96,4200,2805,15.9,5,177,100,68,39,27.5,13.0,2690
33,10.8,15.9,21.0,22,29,4,2.3,105,4600,2285,15.4,4,180,101,68,40,24.0,12.0,2850
34,12.8,14.0,15.2,24,30,4,2.0,115,5500,2340,15.5,4,179,103,70,38,23.0,18.0,2710
35,14.5,19.9,25.3,15,20,6,3.0,145,4800,2080,21.0,7,176,119,72,45,30.0,14.0,3735
36,15.6,20.2,24.8,21,30,6,3.0,140,4800,1885,16.0,5,192,106,71,40,27.5,18.0,3325
37,20.1,20.9,21.7,18,26,8,4.6,190,4200,1415,20.0,6,212,114,78,43,30.0,21.0,3950
38,6.7,8.4,10.0,46,50,3,1.0,55,5700,3755,10.6,4,151,93,63,34,27.5,10.0,1695
39,11.5,12.5,13.5,30,36,4,1.6,90,5400,3250,12.4,4,164,97,67,37,24.5,11.0,2475
40,17.0,19.8,22.7,24,31,4,2.3,160,5800,2855,15.9,4,175,100,70,39,23.5,8.0,2865
41,8.4,12.1,15.8,42,46,4,1.5,102,5900,2650,11.9,4,173,103,67,36,28.0,12.0,2350
42,13.8,17.5,21.2,24,31,4,2.2,140,5600,2610,17.0,4,185,107,67,41,28.0,14.0,3040
43,6.8,8.0,9.2,29,33,4,1.5,81,5500,2710,11.9,5,168,94,63,35,26.0,11.0,2345
44,9.0,10.0,11.0,22,29,4,1.8,124,6000,2745,13.7,5,172,98,66,36,28.0,12.0,2620
45,9.1,10.0,11.0,26,34,4,1.5,92,5550,2540,11.9,4,166,94,64,34,23.5,9.0,2285
46,12.4,13.9,15.3,20,27,4,2.0,128,6000,2335,17.2,5,184,104,69,41,31.0,14.0,2885
47,45.4,47.9,50.4,17,22,8,4.5,278,6000,1955,22.5,5,200,113,72,42,29.0,15.0,4000
48,27.5,28.0,28.4,18,24,6,3.0,185,5200,2325,18.5,5,188,103,70,40,27.5,14.0,3510
49,34.7,35.2,35.6,18,23,6,3.0,225,6000,2510,20.6,4,191,106,71,39,25.0,9.0,3515
50,33.3,34.3,35.3,17,26,6,3.8,160,4400,1835,18.4,6,205,109,73,42,30.0,19.0,3695
51,34.4,36.1,37.8,18,26,8,4.6,210,4600,1840,20.0,6,219,117,77,45,31.5,22.0,4055
52,7.4,8.3,9.1,29,37,4,1.6,82,5000,2370,13.2,4,164,97,66,34,27.0,16.0,2325
